key,rank,lemma,pos,gloss,prompt
aamu|noun,349,aamu,noun,morning,"a sunrise with a rooster as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, bright summer afternoon with a few fluffy clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
kuukausi|noun,387,kuukausi,noun,month,"a single calendar page as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, autumn day with warm orange and brown foliage, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
rauha|noun,391,rauha,noun,"peace, harmony, calm","a white dove with an olive branch as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
peli|noun,399,peli,noun,game,"a board game with dice as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
sydän|noun,409,sydän,noun,heart,"a red heart as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ääni|noun,410,ääni,noun,sound,"a megaphone with sound waves as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
rakkaus|noun,439,rakkaus,noun,"love, affection","two figures holding hands with a heart above them as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
tarina|noun,440,tarina,noun,"story, tale","an open storybook with a castle rising from its pages as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ajatus|noun,446,ajatus,noun,thought,"a person with a thought bubble as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
viesti|noun,448,viesti,noun,message,"an envelope with a letter as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
suunnitelma|noun,460,suunnitelma,noun,plan,"a blueprint with a pencil and ruler as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
idea|noun,502,idea,noun,idea,"a glowing light bulb as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
uutinen|noun,510,uutinen,noun,"news, news item, item of news","a folded newspaper as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
uni|noun,526,uni,noun,sleep,"a person sleeping with zzz as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
valo|noun,533,valo,noun,light,"a glowing lantern as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
juhla|noun,547,juhla,noun,"party, celebration, carnival","balloons and confetti as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
vaate|noun,585,vaate,noun,"piece of clothing, garment","a shirt on a hanger as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
virhe|noun,593,virhe,noun,"mistake, blunder, error","a big red X mark as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
päätös|noun,619,päätös,noun,decision,"a fork in the road with a signpost as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
suunta|noun,633,suunta,noun,direction,"a compass as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
salaisuus|noun,705,salaisuus,noun,secret,"a locked diary as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
musiikki|noun,720,musiikki,noun,music,"a guitar with musical notes as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, autumn day with warm orange and brown foliage, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
selkä|noun,728,selkä,noun,back,"the back of a standing person seen from behind as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
paperi|noun,733,paperi,noun,paper,"a blank sheet of paper as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
vaara|noun,767,vaara,noun,"danger, risk, peril","a warning triangle sign as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
nälkä|noun,770,nälkä,noun,hunger,"a person looking at an empty plate as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, warm golden sunset sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
hinta|noun,792,hinta,noun,price,"a price tag as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
kivi|noun,834,kivi,noun,a piece of stone which is larger than a grain of sand,"a grey stone as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
osoite|noun,850,osoite,noun,address,"a mailbox with a house number as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
voitto|noun,869,voitto,noun,"victory, win, triumph","a golden trophy cup as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
raja|noun,870,raja,noun,"border, boundary, limit","a border crossing with a barrier as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
laulu|noun,936,laulu,noun,song,"a person singing with musical notes as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
muisto|noun,941,muisto,noun,"memory, recollection","an old photo album as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ryhmä|noun,738,ryhmä,noun,group,"a group of people standing together as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
apu|noun,176,apu,noun,"help, aid, assistance","one person pulling another up by the hand as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
loppu|noun,218,loppu,noun,"end, ending, finish","a finish line with a ribbon as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
laki|noun,523,laki,noun,act,"a gavel and scales of justice as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
puhelu|noun,701,puhelu,noun,"talk, conversation","a person talking on the phone as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
treffi|noun,909,treffi,noun,date (romantic; usually plural: treffit),"a couple at a candlelit table as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, bright summer afternoon with a few fluffy clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
syödä|verb,171,syödä,verb,to eat,"a person eating a meal as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
juoda|verb,267,juoda,verb,to drink,"a person drinking from a cup as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
nukkua|verb,270,nukkua,verb,to sleep,"a person sleeping in bed as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
juosta|verb,468,juosta,verb,to run,"a person running as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, dark navy nighttime sky with subtle stars and a crescent moon, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
kävellä|verb,475,kävellä,verb,to walk,"a person walking as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
lukea|verb,230,lukea,verb,to read,"a person reading a book as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
kirjoittaa|verb,283,kirjoittaa,verb,to write,"a person writing at a desk as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
laulaa|verb,643,laulaa,verb,to sing,"a person singing as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
tanssia|verb,614,tanssia,verb,to dance,"a person dancing as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
hypätä|verb,681,hypätä,verb,"to jump, leap","a person jumping as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
istua|verb,225,istua,verb,"to sit, be sitting","a person sitting on a chair as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
seisoa|verb,673,seisoa,verb,to stand,"a person standing as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ajaa|verb,284,ajaa,verb,"to drive, ride, travel","a person driving a car as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
lentää|verb,530,lentää,verb,to fly,"a person flying in a small plane as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
nauraa|verb,553,nauraa,verb,to laugh,"a person laughing as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, autumn day with warm orange and brown foliage, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
itkeä|verb,684,itkeä,verb,"to cry, weep","a person crying as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, bright summer afternoon with a few fluffy clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
maksaa|verb,195,maksaa,verb,to pay,"a person paying at a counter as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, autumn day with warm orange and brown foliage, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ostaa|verb,258,ostaa,verb,"to buy, purchase","a person buying groceries in a shop as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
myydä|verb,359,myydä,verb,to sell,"a person selling at a market stall as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
avata|verb,301,avata,verb,to open,"a person opening a door as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
sulkea|verb,422,sulkea,verb,"to close, shut","a person closing a door as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
heittää|verb,495,heittää,verb,"to throw, cast, hurl","a person throwing a ball as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, gentle overcast day with soft grey clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
lyödä|verb,400,lyödä,verb,"to hit, strike, knock","a person hitting a nail with a hammer as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
kantaa|verb,674,kantaa,verb,"to carry, bear","a person carrying a box as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, autumn day with warm orange and brown foliage, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
